id;latitude;longitude;score;UGA
580001030;47,281178;3,490666;182;58CLA
580001097;46,857946;3,64869;29;58CLA
580001162;47,169162;3,026118;200;58CLA
580001212;47,190776;3,012635;31;58CLA
580001246;47,062826;3,934107;53;58CLA
580001261;47,064264;3,935411;84;58CLA
580001295;47,28312;3,226237;128;58CLA
580001345;47,051799;3,654796;69;58CLA
580001394;47,460079;3,52157;129;58CLA
580001444;47,458529;3,519621;95;58CLA
580001477;47,25549;3,681612;57;58CLA
580001493;47,257165;3,68485;22;58CLA
580001543;47,399777;2,924898;94;58CLA
580001576;47,410848;2,925702;173;58CLA
580001592;47,411312;2,926474;89;58CLA
580001626;47,410723;2,924781;124;58CLA
580001824;47,372007;3,125472;68;58CLA
580002145;47,289889;3,81737;58;58CLA
580002376;47,214967;4,025335;178;58CLA
580002392;46,986011;3,810825;185;58CLA
580002426;46,986575;3,809829;48;58CLA
580003044;47,283503;2,955982;158;58CLA
580003093;47,175404;3,331053;113;58CLA
580003176;46,907207;3,839923;195;58CLA
580003275;47,104385;3,512235;55;58CLA
580003291;47,367499;3,591779;48;58CLA
580003424;47,355967;3,388478;99;58CLA
710002213;47,077544;4,099088;122;58CLA
710004375;46,721435;3,683972;53;58CLA
890006166;47,463933;3,745305;189;58CLA
120003975;44,465417;2,977413;42;48MEN
120003991;44,465279;2,973596;88;48MEN
120004064;44,442314;3,10856;34;48MEN
480001064;44,456591;3,563025;76;48MEN
480001361;44,861727;3,657438;33;48MEN
480001536;44,487095;3,736317;79;48MEN
480003144;44,819413;3,119027;99;48MEN
480782655;44,551785;3,29264;119;48MEN
480782663;44,802935;3,275746;181;48MEN
480782671;44,469504;3,34576;109;48MEN
480782697;44,365082;3,745684;103;48MEN
480782705;44,522724;3,514966;29;48MEN
480782739;44,517141;3,490659;56;48MEN
480782747;44,517399;3,500049;142;48MEN
480782754;44,43222;3,215566;125;48MEN
480782762;44,783085;3,633901;127;48MEN
480782788;44,722567;3,286355;114;48MEN
480782796;44,365955;3,412631;90;48MEN
480782804;44,552356;3,29132;107;48MEN
480782820;44,324402;3,59407;75;48MEN
480782846;44,179301;3,430121;51;48MEN
480782861;44,524546;3,482433;66;48MEN
480782887;44,661969;3,04742;64;48MEN
480782895;44,370565;3,536176;64;48MEN
480782903;44,478687;3,172732;79;48MEN
480782911;44,855025;3,33142;109;48MEN
480782929;44,520208;3,503895;154;48MEN
480782937;44,802495;3,275636;102;48MEN
480782945;44,781692;3,387968;122;48MEN
480782952;44,506686;3,663646;117;48MEN
480782960;44,245466;3,921902;194;48MEN
480782978;44,640833;3,675369;115;48MEN
480782986;44,800664;3,27544;54;48MEN
480783000;44,3256;3,594431;98;48MEN
480783307;44,668706;3,487429;89;48MEN
320001522;43,934416;-0,07065;147;40BIS
320001753;43,862412;-0,121776;34;40BIS
400007506;44,394805;-1,166533;161;40BIS
400007522;44,442553;-1,246276;21;40BIS
400007555;44,39839;-1,165668;94;40BIS
400007571;44,389316;-1,170282;81;40BIS
400008355;43,969;-0,187226;190;40BIS
400008421;44,212633;-0,919699;131;40BIS
400008454;44,103788;-0,545149;39;40BIS
400008603;44,203151;-1,230696;198;40BIS
400008637;44,213926;-1,291936;133;40BIS
400008652;44,19644;-1,229596;179;40BIS
400009106;44,033035;-0,910617;114;40BIS
400009122;44,024465;-0,903387;35;40BIS
400009270;44,348083;-1,066407;79;40BIS
400009304;44,349867;-1,074063;52;40BIS
400009437;44,308875;-0,778508;49;40BIS
400009486;44,242138;-1,123949;42;40BIS
400009551;43,933716;-0,922755;124;40BIS
400009585;44,034443;-0,322969;78;40BIS
400009601;44,035202;-0,321024;74;40BIS
400009635;44,14309;-0,728976;102;40BIS
400009817;43,928755;-0,643488;29;40BIS
400010203;44,483881;-1,075673;143;40BIS
400010401;44,323181;-0,581549;180;40BIS
400010732;43,889425;-0,303949;61;40BIS
400010773;44,326095;-0,957485;147;40BIS
400010807;43,97866;-0,741819;25;40BIS
040002404;44,373818;6,681154;189;05BRI
040002446;44,322651;6,660808;96;05BRI
040002495;44,407478;6,719195;180;05BRI
040002735;44,387258;6,652767;158;05BRI
040002800;44,352254;6,356598;40;05BRI
040002826;44,386996;6,650961;169;05BRI
050002740;44,896404;6,634346;123;05BRI
050002765;44,89106;6,633928;62;05BRI
050002781;44,897874;6,634182;152;05BRI
050002815;44,902295;6,643771;126;05BRI
050002831;44,895607;6,636489;117;05BRI
050002864;44,896187;6,637472;132;05BRI
050002963;44,564659;6,495974;68;05BRI
050003037;44,788119;6,558874;123;05BRI
050003177;44,976177;6,510406;198;05BRI
050003193;44,564062;6,49594;39;05BRI
050003342;44,945592;6,567834;165;05BRI
050003532;44,563352;6,493811;129;05BRI
050003607;44,841034;6,496971;29;05BRI
050003623;44,933692;6,588766;31;05BRI
050003755;44,659967;6,649583;22;05BRI
050003821;44,525779;6,403844;146;05BRI
050003854;44,591174;6,687759;141;05BRI
050003961;44,932568;6,726581;170;05BRI
050004332;44,660281;6,617542;198;05BRI
050004613;44,493013;6,556609;131;05BRI
050005313;44,781927;6,868643;192;05BRI
050006154;44,65875;6,654583;124;05BRI
050008895;45,043236;6,334811;74;05BRI
210002952;47,667742;4,730201;89;21MON
210003216;47,599652;4,649488;43;21MON
210003570;47,858867;4,572528;63;21MON
210003604;47,860096;4,572599;126;21MON
210003620;47,859902;4,572505;111;21MON
210005435;47,309926;4,856438;110;21MON
210005757;47,842262;4,365708;190;21MON
210006052;47,621581;4,33684;127;21MON
210006086;47,627053;4,340345;197;21MON
210006102;47,625617;4,338392;91;21MON
210006136;47,622727;4,336293;200;21MON
210006383;47,297;4,808144;140;21MON
210006433;47,26221;4,555961;91;21MON
210006466;47,262622;4,555935;90;21MON
210006482;47,388784;4,306788;80;21MON
210006805;47,439499;4,787906;124;21MON
210007001;47,490924;4,339161;110;21MON
210007035;47,491656;4,335033;114;21MON
210007183;47,312395;4,709975;37;21MON
210007357;47,542656;4,462846;200;21MON
210007373;47,543167;4,458008;135;21MON
210007407;47,397645;4,540031;46;21MON
2A0001616;42,268214;8,694257;105;20CAL
2B0001028;42,626631;8,923565;197;20CAL
2B0001374;42,509522;8,857428;74;20CAL
2B0002315;42,334916;9,025872;43;20CAL
2B0002331;42,562639;8,754113;82;20CAL
2B0002356;42,618961;9,009379;76;20CAL
2B0002364;42,680438;9,302036;106;20CAL
2B0002554;42,680438;9,302036;199;20CAL
2B0002570;42,577295;9,32581;129;20CAL
2B0002604;42,545619;8,759589;93;20CAL
2B0002612;42,601247;8,826665;188;20CAL
2B0002695;42,114914;9,513296;145;20CAL
2B0002760;42,306348;9,15085;46;20CAL
2B0002844;42,114914;9,513296;154;20CAL
2B0002885;42,302265;9,157248;31;20CAL
2B0002893;42,019512;9,408654;48;20CAL
2B0002976;42,234705;9,178185;88;20CAL
2B0002984;42,634305;8,938354;127;20CAL
2B0002992;42,565526;8,756462;185;20CAL
2B0003230;42,019512;9,408654;69;20CAL
2B0003396;42,633783;8,93844;44;20CAL
2B0003677;42,464166;9,200851;114;20CAL
2B0003933;42,464166;9,200851;173;20CAL
030002976;46,167299;2,631863;146;63SEL
190008250;45,661743;2,45124;199;63SEL
190008722;45,64668;2,461199;105;63SEL
230002776;45,917085;2,484426;89;63SEL
630002673;45,925269;2,811002;138;63SEL
630002970;45,661441;2,976184;86;63SEL
630003135;45,511176;2,934017;85;63SEL
630003150;45,507404;2,918851;184;63SEL
630003283;45,588437;2,737153;173;63SEL
630003317;45,588585;2,737823;181;63SEL
630003366;45,649079;2,5641;157;63SEL
630003853;45,58767;3,128977;135;63SEL
630003887;45,588099;3,129559;128;63SEL
630006203;45,790782;2,745603;197;63SEL
630006302;45,80664;2,470365;99;63SEL
630006336;45,754856;2,569638;113;63SEL
630006617;45,527472;2,67427;186;63SEL
630006773;45,962229;2,941584;35;63SEL
630006906;46,104714;2,874752;86;63SEL
630006955;45,615889;2,540905;70;63SEL
630006971;45,613628;2,556301;168;63SEL
630007052;46,179944;2,80738;103;63SEL
630007086;45,575062;2,808793;73;63SEL
630007151;45,939388;2,581705;69;63SEL
630007201;45,574343;2,94189;32;63SEL
630007250;45,736325;2,867632;25;63SEL
630007417;45,543638;3,21223;175;63SEL
630007466;46,111745;2,696318;132;63SEL
630007482;45,8679;2,675794;173;63SEL
630007573;45,833109;2,850015;61;63SEL
630007607;45,832028;2,851641;164;63SEL
630007987;45,685464;2,804416;68;63SEL
